dt,AverageTemperature,Country
1/1/2012,-0.231,Afghanistan
2/1/2012,0.235,Afghanistan
3/1/2012,8.696,Afghanistan
4/1/2012,16.32,Afghanistan
5/1/2012,21.179,Afghanistan
6/1/2012,25.267,Afghanistan
7/1/2012,28.193,Afghanistan
8/1/2012,26.549,Afghanistan
9/1/2012,20.933,Afghanistan
10/1/2012,15.031,Afghanistan
11/1/2012,8.7,Afghanistan
12/1/2012,2.907,Afghanistan
1/1/2012,21.151,Africa
2/1/2012,22.648,Africa
3/1/2012,24.357,Africa
4/1/2012,25.621,Africa
5/1/2012,26.627,Africa
6/1/2012,26.302,Africa
7/1/2012,25.513,Africa
8/1/2012,26.042,Africa
9/1/2012,26.147,Africa
10/1/2012,25.713,Africa
11/1/2012,24.607,Africa
12/1/2012,21.983,Africa
1/1/2012,1.687,Albania
2/1/2012,1.977,Albania
3/1/2012,9.135,Albania
4/1/2012,12.053,Albania
5/1/2012,16.316,Albania
6/1/2012,22.309,Albania
7/1/2012,25.474,Albania
8/1/2012,24.966,Albania
9/1/2012,20.454,Albania
10/1/2012,15.759,Albania
11/1/2012,11.269,Albania
12/1/2012,3.82,Albania
1/1/2012,11.363,Algeria
2/1/2012,12.09,Algeria
3/1/2012,18.32,Algeria
4/1/2012,23.349,Algeria
5/1/2012,29.664,Algeria
6/1/2012,33.977,Algeria
7/1/2012,34.958,Algeria
8/1/2012,34.01,Algeria
9/1/2012,30.224,Algeria
10/1/2012,25.834,Algeria
11/1/2012,20.031,Algeria
12/1/2012,13.638,Algeria
1/1/2012,27.145,American Samoa
2/1/2012,27.134,American Samoa
3/1/2012,27.045,American Samoa
4/1/2012,27.266,American Samoa
5/1/2012,27.179,American Samoa
6/1/2012,27.065,American Samoa
7/1/2012,26.629,American Samoa
8/1/2012,26.922,American Samoa
9/1/2012,27.278,American Samoa
10/1/2012,27.475,American Samoa
11/1/2012,27.963,American Samoa
12/1/2012,27.316,American Samoa
1/1/2012,5.145,Andorra
2/1/2012,1.705,Andorra
3/1/2012,9.405,Andorra
4/1/2012,9.752,Andorra
5/1/2012,15.136,Andorra
6/1/2012,18.817,Andorra
7/1/2012,20.512,Andorra
8/1/2012,22.514,Andorra
9/1/2012,17.539,Andorra
10/1/2012,13.261,Andorra
11/1/2012,8.62,Andorra
12/1/2012,5.673,Andorra
1/1/2012,22.152,Angola
2/1/2012,22.038,Angola
3/1/2012,23.438,Angola
4/1/2012,22.554,Angola
5/1/2012,20.979,Angola
6/1/2012,18.693,Angola
7/1/2012,18.891,Angola
8/1/2012,21.817,Angola
9/1/2012,23.797,Angola
10/1/2012,23.736,Angola
11/1/2012,24.344,Angola
12/1/2012,23.041,Angola
1/1/2012,25.678,Anguilla
2/1/2012,25.868,Anguilla
3/1/2012,26.182,Anguilla
4/1/2012,26.622,Anguilla
5/1/2012,27.448,Anguilla
6/1/2012,28.883,Anguilla
7/1/2012,29.073,Anguilla
8/1/2012,29.171,Anguilla
9/1/2012,29.309,Anguilla
10/1/2012,28.758,Anguilla
11/1/2012,28.203,Anguilla
12/1/2012,26.476,Anguilla
1/1/2012,,Antarctica
2/1/2012,,Antarctica
3/1/2012,,Antarctica
4/1/2012,,Antarctica
5/1/2012,,Antarctica
6/1/2012,,Antarctica
7/1/2012,,Antarctica
8/1/2012,,Antarctica
9/1/2012,,Antarctica
10/1/2012,,Antarctica
11/1/2012,,Antarctica
12/1/2012,,Antarctica
1/1/2012,25.582,Antigua And Barbuda
2/1/2012,25.654,Antigua And Barbuda
3/1/2012,25.985,Antigua And Barbuda
4/1/2012,26.553,Antigua And Barbuda
5/1/2012,27.362,Antigua And Barbuda
6/1/2012,28.813,Antigua And Barbuda
7/1/2012,28.898,Antigua And Barbuda
8/1/2012,28.903,Antigua And Barbuda
9/1/2012,28.921,Antigua And Barbuda
10/1/2012,28.312,Antigua And Barbuda
11/1/2012,27.89,Antigua And Barbuda
12/1/2012,26.329,Antigua And Barbuda
1/1/2012,23.29,Argentina
2/1/2012,21.487,Argentina
3/1/2012,19.34,Argentina
4/1/2012,14.663,Argentina
5/1/2012,12.433,Argentina
6/1/2012,8.353,Argentina
7/1/2012,6.98,Argentina
8/1/2012,10.842,Argentina
9/1/2012,13.931,Argentina
10/1/2012,16.311,Argentina
11/1/2012,19.677,Argentina
12/1/2012,20.961,Argentina
1/1/2012,-2.78,Armenia
2/1/2012,-5.479,Armenia
3/1/2012,0.363,Armenia
4/1/2012,12.004,Armenia
5/1/2012,16.084,Armenia
6/1/2012,20.418,Armenia
7/1/2012,22.252,Armenia
8/1/2012,23.687,Armenia
9/1/2012,18.592,Armenia
10/1/2012,13.265,Armenia
11/1/2012,6.766,Armenia
12/1/2012,-0.963,Armenia
1/1/2012,26.879,Aruba
2/1/2012,26.976,Aruba
3/1/2012,27.066,Aruba
4/1/2012,27.516,Aruba
5/1/2012,29.117,Aruba
6/1/2012,29.993,Aruba
7/1/2012,30.339,Aruba
8/1/2012,30.232,Aruba
9/1/2012,30.112,Aruba
